Name,Pts,Army,Race,Type,Unit,NumUnits,Class,Person,Size,Height,Life,MVE,RGE,ATK,DEF,SP1,SP2,SP3
Feral Troll,90,Utgar,Troll,1,Hero,1,Hunter,Ferocious,Large,7,8,5,1,3,1,"Blood Frenzy: When attacking with this Feral Troll, it receives 1 extra attack die for each wound marker on the defending figure's Army Card, to a maximum of 3 additional attack dice for Blood Frenzy.","Regenerate: After taking a turn with this Feral Troll, remove 1 Wound Marker from this Feral Troll's Army Card.",
Finn the Viking Champion,80,Jandar,Human,2,Hero,1,Champion,Valiant,Medium,5,4,5,1,3,4,ATTACK AURA - All friendly figures adjacent to Finn with a range of 1 add 1 die to their normal attack.  ,"WARRIOR'S ATTACK-SPIRIT 1 - When Finn is destroyed, place this figure on any unique Army Card.  Finn's Spirit adds 1 to the normal attack number on that card.",
Fire Elemental,35,Utgar,Elemental,0,Hero,1,Construct,Mindless,Medium,4,1,5,1,4,4,Lava Resistant: A Fire Elemental never rolls for molten lava damage or lava field damage and it does not have to stop in molten lava spaces.,"Searing Intensity: After moving and before attacking, you must roll the 20-sided die once for each figure adjacent to at least one Fire Elemental you control. If you roll a 14 or higher, that figure receives 1 wound. Figures with the Lava Resistant special power are not affected by Searing Intensity.",Negative Element: A Fire Element can never roll defense dice while it is on a water space.
Frost Giant of Morh,140,Utgar,Giant,1,Hero,1,Brute,Fearless,Huge,9,6,5,1,4,4,"Indomitable: If this Frost Giant of Morh begins its turn unengaged, add 2 to its Move value this turn. If it begins its turn engaged, add 2 to its Attack value this turn.","Battle Frenzy: After attacking with this Frost Giant of Morh, roll the 20-sided die. If you roll a 16 or higher, you may attack again with this Frost Giant of Morh.","Dying Swipe: If this Frost Giant of Morh is attacked with a normal attack by an opponent's figure and receives enough wounds to be destroyed, roll 3 attack dice. One at a time for each skull rolled, you may inflict 1 wound on any figure that is adjacent to this Frost Giant of Morh. Figures affected by Dying Swipe cannot roll any defense dice and can receive more than 1 wound each. After using Dying Swipe, remove this Frost Giant of Morh from the battlefield."
Fyorlag Spiders,40,Aquilla,Arachnids,0,Squad,3,Scout,Wild,Small,2,1,7,1,2,2,"Climb X3: When moving up or down levels of terrain, Fyorlag Spiders may triple their height.","Entangling Web: After moving and before attacking, you may choose any one small or medium opponent's figure that is engaged with at least three Fyorlag Spiders that you control. Roll the 20-sided die. If you roll a 16 or higher, remove one unrevealed order marker at random from the chosen figure's Army Card (or cards if your opponent has more than one Common Army Card for that figure).","Predator Bonding: Before taking a turn with Fyorlag Spiders, you may first take a turn with any Predator you control."
Gladiatrons,80,Vydar,Soulborg,0,Squad,4,Hunter,Disciplined,Medium,5,1,5,1,2,3,Cyberclaw - All small or medium opponent's figures that enter or occupy a space adjacent to any Gladiatron may not move. Figures affected by the Cyberclaw cannot be moved by any special power on an Army Card or Glyph. ,"Melee Defense 1  - When rollling defense dice against a normal attack from an adjacent figure, Gladiatrons add 1 die.",
Goblin Cuttters,50,Utgar,Goblins,0,Squad,4,Cutters,Skittish,Small,3,1,6,1,2,1,"Mob Attack: When attacking with a Goblin Cutter you control, if the defending figure is engaged with at least 2 other Goblin Cutters you control, it subtracts 2 from its defense dice.","Scurry: When a Goblin Cutter you control is destroyed by a normal attack from an opponent's figure, you may move any 2 Goblin Cutters you control up to 4 spaces each, and all Goblin Cutters you control no longer have any visible Hit Zones for the duration of the attacking figure's turn while they remain unengaged. Goblin Cutters will never take any leaving engagement attacks while using Scurry.
Scale: When moving up or down levels of terrain, Goblin Cutters may add 2 to their height.",
Gorillinators,90,Vydar,Primadon,0,Squad,3,Agent,Tricky,Medium,5,1,7,6,2,1,"TOUGH - When rolling defense dice against normal attack, Gorillinators always add one automatic shield to whatever is rolled.",,
Granite Guardians,100,Aquilla,Elementars,0,Squad,3,Guard,Dauntless,Medium,5,1,3,1,3,5,"Rock Throw: If a Granite Guardian has a height advantage on an opponent's figure, it may add 2 to its range when attacking that figure.
 Landslide: A Granite Guardian with a height advantage on an adjacent opponent's figure rolls an additional attack die when attacking that figure.
Gain High Ground: After taking a turn with Granite Guardians, you may move each Granite Guardian you control up to 1 space. This space may be up to 4 levels higher.",,
Greater Ice Elemental,130,Jandar,Elemental,1,Hero,1,Construct,Dauntless,Huge,8,4,5,1,6,4,"Ice Cold: While a Greater Ice Elemental is on a water or ice space, that space and all same-level water spaces adjacent to that Greater Ice Elemental are considered normal ice spaces. Figures do not have to stop their movement on normal ice spaces.","Ice Spikes 15: If an opponent's figure moves adjacent to this Greater Ice Elemental, roll the 20-sided die. If this Greater Ice Elemental is on at least one ice or snow space, add 2 to your die roll. If you roll a 15 or higher, the opponents figure receives 1 wound. Figures can be affected by Ice Spikes only as they move into engagement with this Greater Ice Elemental.","Cold Healing: After taking a turn with this Greater Ice Elemental, if it is on at least one snow or ice space, remove 1 wound marker from this Greater Ice Elemental's Army Card."
Greenscale Warriors,60,Ullar,Lizzardfolk,0,Squad,3,Warrior,Loyal,Medium,5,1,6,1,2,2,"Loyalty to the Lizard King: At the start of the game, choose a Unique Lizardfolk Hero you control, or a Unique large or huge Dragon Hero you control, to be the Greenscale Warriors' Lizard King. A Greenscale Warrior rolls 1 additional attack and defense die when its chosen Lizard King is within 2 clear sight spaces. You can choose only one Lizard King for all the Greenscale Warriors you control.","Lizard King Bonding: Before taking a turn with the Greenscale Warriors, you may first take a turn with their chosen Lizard King if it is still under your control.",
Grimnak,120,Utgar,Orc,2,Hero,1,Champion,Ferocious,Huge,11,5,5,1,2,4,"CHOMP - Before attacking, choose one medium or small figure adjacent to Grimnak.  If the chosen figure is a Squad figure, destroy it.  It the chosen figure is a Hero figure, roll the 20-sided die.  If you roll a 16 or higher destroy the chosen hero.  ",ORC WARRIOR ENHANCEMENT - All friendly Orc Warriors adjacent to Grimnak roll an additional attack die and an additional defense die.,
Grok Riders,130,Utgar,Marro,0,Squad,3,Hunter,Menacing,Large,5,1,7,1,3,3,"Marro Warlord Bonding: Before taking a turn with Grok Riders, you may first take a turn with any Marro Warlord you control.","Mark of the Warlord: When attacking a figure that is adjacent to any Marro Warlord you control, Grok Riders add 2 to their attack dice.",Grok Training: Marro Hive cannot rebirth Grok Riders with its Marro Rebirth special power.
Guilty McCreech,30,Einar,Human,2,Hero,1,Lawman,Wild,Medium,4,2,5,7,2,2,"Double Attack - When Guilty McCreech attacks, he may attack one additional time.",,
Gurei-Oni,100,Einar,Ogre,2,Hero,1,Guard,Tormenting,Large,7,4,5,1,4,4,"Evil Eye Defense: When rolling defense dice against a normal attack from a non-adjactent attacking figure, all excess shields count as unblockable hits on the attacking figure.",Tetsubo Special Attack: Range 1. Attack 3. Choose a figure to attack. You may also choose one figure adjacent to the targeted figure to be affected by the Tetsubo Special Attack as well. Roll attack once for both figures. Each figure rolls defense dice separately.,
Hatamoto Taro,130,Einar,Human,2,Hero,1,Samurai,Disciplined,Medium,5,5,5,1,2,2,"Heroic Defense Aura: When defending against a normal attack by an adjacent figure with any Samurai or Ashigaru figures you control within 8 clear sight space of Hatamoto Taro, you may roll Einar Valkyrie dice. Each Einar symbol rolled counts as an additional sheild. Heroic Defense Aura does not affect Hatamoto Taro.","Adjacent Tough 1: When rolling defense dice for Hatamoto Taro, if Hatamoto Taro is adjacent to at least one figure you control who follows Einar, add one automatic shield to the defense roll.",
Heavy Gruts,70,Utgar,Orc,0,Squad,4,Warrior,Wild,Medium,4,1,5,1,3,3,"Orc Champion Bonding - Before taking a turn with Heavy Gruts, you may first take a turn with any Orc Champion you control.",Disengage - Heavy Gruts are never attacked when leaving engagements. ,
Heirloom,90,Vydar,Warforged,2,Hero,1,Wizard,Tricky,Medium,5,4,5,1,4,2,Force Orb Special Attack: Range 5. Attack 3. Choose an opponent's figure to attack. Each opponent's figure adjacent to the chosen figure is also affected by Force Orb Special Attack. Roll attack dice once for all affected figures. Each figure rolls defense dice separately.,"Mage Hand: After moving and before attacking with Heirloom, you may choose a Treasure Glyph on an unoccupied space within 4 spaces of Heirloom. You may move that Treasure Glyph onto any empty same-level space adjacent to Heirloom. Symbol-side-up Treasure Glyphs cannot be revealed, and a power-side-up Treasure Glyph must be placed power-side-up when moved by Mage Hand.","Warforged Resolve: When rolling defense dice against a normal or special attack, Heirloom always adds 1 automatic shield to whatever is rolled."
Horned Skull Brutes,75,Valkrill,Goblins,0,Squad,3,Brutes,Merciless,Medium,5,1,5,1,4,4,"Expendable Rabble: If a Horned Skull Brute you control is attacked with a normal attack by an opponent's figure and receives 1 or more wounds, you may destroy a small Goblin figure you control that is adjacent to that Horned Skull Brute to ignore any wounds that Horned Skull Brute just received.","Barge into Battle: After moving and before attacking, if a Horned Skull Brute you control ends its movement unengaged, you may choose an engaged small or medium friendly Squad figure within 3 clear sight spaces of that Horned Skull Brute whose base is no more that 2 levels higher or lower than the base of that Horned Skull Brute. You may switch that Horned Skull Brute with the chosen Squad figure. Figures moved by Barge into Battle never take any leaving engagement attacks.",
Ice Troll Berserker,85,Utgar,Troll,1,Hero,1,Beast,Ferocious,Large,5,4,5,1,5,2,"Ice Troll Charge: After moving and before attacking with this Ice Troll Berserker, roll the 20-sided die. If this Ice Troll Berserker is on a snow or ice space, add 3 to your die roll. If you roll a 13 or higher, you may move this Ice Troll Berserker again.","Cold Regenerate: After taking a turn with this Ice Troll Berserker, remove 1 wound marker from this Ice Troll Berserker's Army Card. If it is on a snow or ice space, remove 1 additional wound marker.",
Iron Golem,100,Vydar,Golem,1,Hero,1,Construct,Mindless,Large,7,3,5,1,6,6,"Iron Tough: When rolling defense dice against a special attack, this Iron Golem always adds 2 automatic shields to whatever is rolled.",Lava Resistant: This Iron Golem never rolls for molten lava damage or lava field damage and it does not have to stop in molten lava spaces.,
Isamu,10,Utgar,Human,2,Hero,1,Ninja,Disciplined,Medium,4,1,6,1,3,1,"Vanish 9: If Isamu is attacked and at least 1 skull is rolled, roll the 20-sided die to vanish. If you roll 1-8, roll defense dice normally. If you roll a 9 or higher, Isamu takes no damage and may immediately move up to 4 spaces. Isamu can vanish only if he ends his vanishing move not adjacent to any enemy figures.",Phantom Walk: Isamu can move through all figures and is never attacked when leaving an engagement.,"Dishonorable Attack: When attacking a figure who follows Jandar, Isamu rolls 2 additional attack dice."
Iskra Esenwein,50,Utgar,Undead,2,Hero,1,Duchess,Terrifying,Medium,4,4,6,1,3,3,"Life Drain: Each time Iskra Esenwein destroys a figure, you may remove a wound marker from this Army Card. Iskra Esenwein cannot Life Drain destructible objects.","Summon the Rechets of Bogdan: After taking a turn with Iskra Esenwein, you may attempt to summon the Rechets of Bogdan if they are in your army and they have not yet been successfully summoned. Roll the 20-sided die. If you roll a 14 or higher, you must place all 3 Rechets of Bogdan on empty spaces within 6 clear sight spaces of Iskra Esenwein. Any Rechets of Bogdan that you cannot place on the battlefield are immediately destroyed and cannot be summoned again. When the Rechets of Bogdan are summoned, you may immediately take a turn with them.","Flying: When counting spaces for Iskra Esenwein's movement, ignore elevations. Iskra Esenwein may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When Iskra Esenwein starts to fly, if she is engaged she will take any leaving engagement attacks."
Izumi Samurai,60,Einar,Human,2,Squad,3,Samurai,Disciplined,Medium,5,1,6,1,2,5,"COUNTER STRIKE - When rolling defense dice against a normal attack from an adjacent attacking figure, all excess shields count as unblockable hits on the attacking figure.  This power does not work on other Samurai.",,
James Murphy,75,Vydar,Human,2,Hero,1,Lawman,Disciplined,Medium,4,5,5,7,2,2,Shotgun Blast Special Attack - Range 5. Attack 3. Choose a figure to attack. Any figures adjacent to the chosen figure are also affected by the Shotgun Blast Special Attack. James only needs a clear sight shot at the chosen figure. Roll attack dice once for all affected figures. Each figure rolls defense dice separately. James cannot be affected by his own Shotgun Blast Special Attack. ,"Whip 12 - After moving and before attacking, choose a small or medium figure adjacent to James. Roll the 20-sided die. If you roll a 12 or higher, the chosen figure cannot roll any defense dice if attacked by James this turn.",
"Johnny ""Shotgun"" Sullivan",65,Jandar,Human,2,Hero,1,Lawman,Tricky,Medium,5,5,5,7,2,2,SHOTGUN BLAST SPECIAL ATTACK - Range 5.  Attack 3.  Choose a figure to attack.  Any figures adjacent to the chosen figure are also affected by the Shotgun Blast Special Attack.  Johnny only needs a clear sight shot at the chosen figure.  Roll attack dice once for all affected figures.  Each figure rolls defense dice separately.  Johnny cannot be affected by his own Shotgun Blast Special Attack.,,
Jorhdawn,100,Ullar,Elf,2,Hero,1,Wizard,Valiant,Medium,4,6,5,1,3,2,"Rain of Flame Special Attack: Range 7. Attack 1 + Special. Choose a figure to attack. Any figures adjacent to the chosen figure are also affected by the Rain of Flame Special Attack. Add 1 to Jorhdawn's attack dice for every additional Elf Wizard you control within 3 clear sight spaces of Jorhdawn, up to a maximum of +3 dice. Roll attack dice once for all affected figures. Each affected figure rolls defense dice separately. Jorhdawn cannot be affected by her own Rain of Flame Special Attack.",,
Jotun,225,Ullar,Giant,2,Hero,1,Warrior,Wild,Huge,10,7,6,1,8,4,Wild Swing Special Attack - Range 1. Attack 4. Choose a figure to attack. Any figures adjacent to the chosen figure are also affected by the Wild Swing Special Attack. Roll attack dice once for all affected figures. Each figure rolls defense dice separately. Jotun cannot be affected by his own Wild Swing Special Attack. ,"Throw 14 - After moving and before attacking, choose one small or medium non-flying figure adjacent to Jotun. Roll the 20-sided die. if you roll a 14 or higher, you may throw the figure by placing it on any empty space within 4 spaces of Jotun. The figure must land within clear sight of Jotun. After the figure is placed, roll the 20-sided die for throwing damage. If you roll an 11 or higher, the thrown figure receives 2 wounds. If the figure is thrown onto a level higher than the height of Jotun or onto water, do not roll for throwing damage. The thrown figure does not take any leaving engagement attacks. ",
Kaemon Awa,120,Einar,Human,2,Hero,1,Samurai,Disciplined,Medium,5,4,5,7,4,4,"Quick Release Special Attack - Range 4. Attack 4. When Kaemon Awa attacks with his Quick Release Special Attack, he may attack one additional time.","Counter Strike - When rolling defense dice against a normal attack from an adjacent attacking figure, all excess shields count as unblockable hits on the attacking figure. This power does not work against other Samurai. ",
Kato Katsuro,200,Einar,Human,2,Hero,1,Diamo,Disciplined,Medium,5,5,6,1,4,4,"Kato Katsuro's Command: Instead of taking a turn with Kato Katsuro, you may take a turn with one of the following that you control: 1 Samurai Hero; or 1 Samurai Squad; or 1 Ashigaru Harquebus Squad and/or 1 Ashigaru Yari Squad. You may choose which Squad to activate first. Any figure in the above list that is taking a turn instead of Kato Katsuro must be within clear sight of Kato Katsuro before moving.",,
Kee-Mo-Shi,130,Utgar,Marro,2,Hero,1,Warwitch,Tricky,Medium,6,4,6,1,4,4,"Mind Shackle - After moving and before attacking, you may choose any unique figure adjacent to Kee-Mo-Shi. Roll the 20-sided die. If you roll 19 or 20, take control of the chosen figure and that figure's Army Card. You now control that Army Card and all figures on it. Remove any Order Markers on the chosen figure's Army Card. If Kee-Mo-Shi is destroyed, you retain control of any previously Mind Shackled Army Cards.","Toxic Skin - After attacking, you must roll the 20-sided die once for each figure adjacent to Kee-Mo-Shi. If you roll a 17 or higher, that figure receives one wound. Soulborgs are not affected by Toxic Skin. ",
Kelda the Kyrie Warrior,80,Jandar,Kyrie,2,Hero,1,Warrior,Merciful,Medium,5,5,6,1,2,3,"HEALING TOUCH - After moving, and before attacking, choose a wounded Hero figure adjacent to Kelda.  Then roll the 20-sided die to add or remove wound markers from the chosen figure's card:  *if you roll 1, add 2 markers.  *if you roll 2-5, remove 1 marker.  *if you roll 6-17, remove up to 2 markers.  *if you roll 18-20 remove all markers.  ","FLYING - When counting spaces for Kelda's movement ignore elevations.  Kelda may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins.  When Kelda starts to fly, if she is engaged, she will take any leaving engagement attacks.  ",
Khosumet the Darklord,75,Utgar,Wolf,2,Hero,1,Darklord,Relentless,Medium,5,3,6,1,3,3,RELENTLESS ATTACK - Each friendly figure adjacent to Khosumet with a relentless personality receives an additional attack die.  ,UNLEASHED FURY ENHANCEMENT - You may add 1 to your die roll when you roll for the Unleashed Fury power on any Army Card.,
Knights of Weston,70,Jandar,Human,0,Squad,4,Knight,Valiant,Medium,5,1,4,1,3,4,"HUMAN CHAMPION BONDING -  Before taking a turn with the Knights of Weston, you may first take a turn with any Human Champion you control.  ",A COWARD'S REWARD - Knights of Weston roll on e additional die against figures leaving an engagement.,
Kozuke Samurai,100,Einar,Human,2,Squad,3,Samurai,Disciplined,Medium,4,1,5,1,5,3,Charging Assault: Any or all Kozuke Samurai may add 3 to their Move number as long as they are unengaged prior to moving. Kozuke Samurai must be able to move adjacent to an opponent's figure in order to use Charging Assault. ,"Counter Strike: When rolling defense dice against a normal attack from an adjacent attacking figure, all excess shields count as unblockable hits on the attacking figure. This power does not work against other Samurai.",
Krav Maga Agents,100,Vydar,Human,2,Squad,3,Agent,Tricky,Medium,4,1,6,7,3,3,"STEALTH DODGE - When a Krav Maga Agent rolls defense dice against an attacking figure who is not adjacent, one shield will block all damage.",,
Krug,120,Utgar,Troll,2,Hero,1,Beast,Relentless,Huge,8,8,5,1,2,3,"WOUNDED SMASH - When Krug attacks, he receives an extra attack die for each wound marker he has.  ","DOUBLE ATTACK - When Krug attacks, he may attack one additional time.",
Kumiko,80,Jandar,Human,2,Hero,1,Ninja,Tricky,Medium,4,3,6,1,3,5,"Ninjutsu Barrage Special Attack: Range 1. Attack 3. Instead of moving and attacking normally with Kumiko, you may move Kumiko up to 3 spaces. Kumiko can attack up to 3 times with Ninjutsu Barrage Special Attack at any point before, during, or after this move as long as Kumiko is on a space where she could end her movement. Kumiko cannot attack the same figure more than once on a single turn.
Phantom Walk: Kumiko can move through all figures and is never attacked when leaving an engagement.",,
Kurok the Elementalist,120,Utgar,Hobgoblin,2,Hero,1,Sorcerer,Devout,Medium,5,5,5,1,3,3,"Summon Elemental: After moving and before attacking with Kurrok the Elementalist, you may roll the 20-sided die. If you roll an 11 or higher, you may if possible, place one of your previously destroyed small or medium Elementals on an empty space within 3 clear sight spaces of Kurrok the Elementalist.","Master of the Elements: After revealing an order marker on Kurrok the Elementalist, instead of taking that turn with Kurrok, you may take a turn with up to three small or medium Elementals you control that are within 8 clear sight spaces of Kurrok the Elementalist.",
Kyntela Gwyn,20,Ullar,Elf,2,Hero,1,Wizard,Valiant,Medium,4,2,5,1,2,2,Strength of Oak Aura 1: All friendly Elves adjacent to Kyntela Gwyn add 1 to their defense dice.,,
Laglor,110,Vydar,Primadon,2,Hero,1,Alphallon,Precise,Medium,5,6,5,7,3,3,Vydar's Range Enhancement Aura: All friendly figures with a Range number of 4 or more who follow Vydar and are within 4 clear sight spaces of Laglor add 2 to their Range number. Vydar's Range Enhancement Aura does not affect Laglor.,"Autoload Special Attack: Range 7. Attack 3. When attacking with Autoload Special Attack, you may roll Vydar Valkyrie dice. If you roll at least one Vydar symbol, you may attack again using Autoload Special Attack.",
MacDirk Warriors,80,Jandar,Human,0,Squad,4,Warrior,Wild,Medium,5,1,5,1,2,2,"HIGHLAND FURY - At the start of the game, choose a Human Champion you control.  While that champion is in play, MacDirk Warriors roll one additional attack die for each wound marker on the chosen hero.  There can be only one Human Champion for all the MacDirk Warriors you control.  MacDirk Warriors cannot attack their chosen Human Champion.  ","HUMAN CHAMPION BONDING - Before taking a turn with the MacDirk Warriors, you may first take a turn with any Human Champion you control.",
Major Q10,150,Vydar,Soulborg,2,Hero,1,Major,Merciful,Large,6,4,5,8,4,5,Machine Pistol Special Attack: Range 7. Attack 2. Major Q10 may use this special attack 4 times in the same turn. Q10 may target the same figure or a different figure with each attack.,Wrist Rocket Special Attack: Range 4. Attack 4. Major Q10 may use this special attack 2 times in the same turn. Q10 may target the same figure or a different figure with each attack.,
Major Q9,180,Vydar,Soulborg,2,Hero,1,Major,Precise,Large,7,4,5,8,4,7,"Queglix Gun Special Attack - Range 6. Attack 1, 2 or 3.  Major Q9 starts each turn with 9 attack dice. Choose any figure within range and attack by rolling 1, 2 or 3 attack dice.  Major Q9 may keep making special attacks with 1, 2 or 3 attack dice until he has rolled all 9 attack dice. Major Q9 may target the same or different figures with each attack.",,
Major X17,100,Vydar,Soulborg,2,Hero,1,Major,Disciplined,Medium,5,5,5,1,4,3,"Improved Cyberclaw - All small, medium or large opponent's figures that enter or occupy a space adjacent to Major X17 may not move. Figures affected by the Cyberclaw cannot be moved by any special power on an Army Card or Glyph. ","Melee Defense 4 - When rollling defense dice against a normal attack from an adjacent figure, Major X17 adds 4 dice.",
Marcu Esenwein,20,Utgar,Undead,2,Hero,1,Devourer,Terrifying,Medium,4,6,7,1,4,1,"Life Drain: Each time Marcus Esenwein destroys a figure, you may remove a wound marker from this Army Card. Marcu Esenwein cannot Life Drain destructible objects.","Eternal Hatred: After revealing an order marker on this card, you must roll the 20-sided die. If you roll a 17 or higher, choose an opponent. That opponent will now control Marcu Esenwein for the remainder of your turn, but will not be able to view any unrevealed order markers on this card. At the end of that turn, control of Marcu returns to you. All order markers and figures that were on Marcu's Army Card will stay on his Army Card.","Flying: When counting spaces for Marcu Esenwein's movement, ignore elevations. Marcu Esenwein may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When Marcu Esenwein starts to fly, if he is engaged he will take any leaving engagement attacks."
Marcus Decimus Gallus,100,Einar,Human,2,Hero,1,Warlord,Disciplined,Medium,5,6,5,1,3,3,SOLDIER LEADERSHIP - All Soldiers you control move one additional space.  ,SOLDIER ATTACK ENHANCEMENT - All friendly Soldiers adjacent to Marcus Decimus Gallus receive an additional attack die.,
Marrden Hounds,90,Utgar,Wulsinu,0,Squad,3,Hunter,Wild,Large,4,1,1,1,3,5,"WILD PACK MOVEMENT - Before moving, roll the 20-sided die.  If you roll a 1-3, add 1 to the move value of this card.  If you roll a 4-5, add 3 to the move value of this card.  If you roll a 7-20, add 7 to the move value of this card. "," MARRO PLAGUE - After moving and before attacking, you must roll the 20-sided die once for each figure adjacent to any Marrden Hounds you control.  If you roll a 16 or higher, that figure receives a wound.  Soulborgs and Wulsinu are not affected by this Marro Plague.",
Marrden Nagrubs,30,Utgar,Nagrubs,0,Squad,3,Guards,Loyal,Small,3,1,6,1,2,2,"Hivelord Life Bonding: Before taking a turn with Marrden Nagrubs, you may first take a turn with any Hivelord you control. Before moving the chosen Hivelord, you may destroy one adjacent Marrden Nagrub you control. If you destroy a Marrden Nagrub with Hivelord Life Bonding remove 1 wound marker from the chosen Hivelord's Army Card.","Climb X2: When moving up or down levels of terrain, Marrden Nagrubs may double their Height.",
Marro Dividers,50,Utgar,Marro,0,Squad,3,Dividers,Wild,Medium,4,1,5,1,3,3,"Cell Divide: When a Marro Divider you control receives one or more wounds from a Normal or Special Attack by an opponent's figure, you may roll the 20-sided die before removing that figure. If you roll a 17 or higher, ignore any wounds that figure just received and, if possible, place one of your previously destroyed Marro Dividers on a same-level space adjacent to the defending Marro Divider.",Self-Replicating: Marro Hive cannot rebirth Marro Dividers with its Marro Rebirth special power.,
Marro Drones,50,Utgar,Marro,0,Squad,3,Drone,Wild,Medium,5,1,6,1,3,3,"HIVE SWARM - Before moving Marro Drones, roll the 20-sided die.  If you roll 1-12, you may move and attack with up to 3 Marro Drones you control.  If you roll a 13-16, you may move and attack with up to 6 Marro Drones you control.  If you roll a 17-20, you may move and attack with up to 9 Marro Drones you control.",,
Marro Drudge,50,Utgar,Marro,0,Squad,3,Hunters,Wild,Medium,4,1,5,5,2,2,"Swamp Water Strength: When a Marro Drudge is on a swamp water space, add 1 to its attack and defense.","Swamp Water Tunnel: If a Marro Drudge ends its normal movement on a swamp water space, you may immediately place it on any empty same-level swamp water space within 5 spaces. If a Marro Drudge is engaged when it starts to tunnel, it will take any leaving engagement attacks.",
Marro Hive,160,Utgar,Marro,2,Hero,1,Hive,Terrifying,Huge,17,6,0,1,1,2,"Hive Mind: After Revealing an order marker on this Army Card, you may take a turn with any small or medium Common Marro Squad you control before taking a turn with Marro Hive. Any figure that is taking a turn must be withing 12 clear sight spaces of Marro Hive prior to its movement.","Marro Rebirth: After taking a turn with Marro Hive, you may roll the 20-sided die. If you roll a 13 or higher, you may place any previously destroyed Common Marro Squad figure from your army on an empty space adjacent to Marro Hive.",
Marro Stingers,60,Utgar,Marro,0,Squad,3,Stingers,Wild,Medium,4,1,5,5,3,3,"Stinger Drain: After moving and before attacking, you may roll the 20-sided die. If you roll a 1-4, you must destroy a Marro Stinger you control and you cannot attack this turn. If you roll a 5 - 9, add 0 to the attack value of this card. If you roll a 10 or higher, add 1 to the attack value of this card.",,
Marro Warriors,50,Utgar,Marro,2,Squad,4,Warrior,Wild,Medium,4,1,6,6,2,3,"WATER CLONE - Instead of attacking with all of the Marro Warriors, one at a time, roll the 20-sided die for each Marro Warrior.  If you roll a 15 or higher, place a previously destroyed Marro Warrior on a same-level space adjacent to that Marro Warrior.  Any Marro Warrior on a water space needs a 10 or higher to Water Clone.  You may only Water Clone after you move.",,
Master of the Hunt,140,Einar,Firbolg,1,Hero,1,Hunter,Bold,Large,6,6,6,4,4,4,"Mortal Strike: After attacking an opponent's Unique Hero with this Master of the Hunt's normal attack, roll 1 attack die for each wound inflicted in that attack. For each additional skull rolled, place 1 additional wound marker on the defending figure's Army Card.","Javelin: After moving and before attacking with this Master of the Hunt, you may roll the 20-sided die. If you roll a 16 or higher, add 3 to this Master of the Hunt's Range value for the duration of its turn.",
Master Win Chiu Woo,140,Aquilla,Human,2,Hero,1,Monk,Disciplined,Medium,5,5,5,1,4,4,Master's Influence: All Monk Squad figures you control may leap an additional 13 levels up or down when using their Stealth Leap special power. All Monks you control within 2 clear sight spaces of Master Woo add 1 to their attack dice and 1 to their defense dice.,Master's Assault: Master Woo may attack any or all figures adjacent to him. Roll each attack separately.,"Stealth Leap 25: Instead of his normal move, Master Woo may use Stealth Leap 25. Stealth Leap 25 has a move of 3. When counting spaces for Stealth Leap 25, ignore elevations. Master Woo may leap over water without stopping, pass over figures without becoming engaged, and leap over obstacles such as ruins. Master Woo may not leap more than 25 levels up or down in a single leap. If Master Woo is engaged when he starts his Stealth Leep 25, he will not take any leaving engagement attacks."
Me-Burq-Sa,50,Utgar,Marro,2,Hero,1,Warlord,Wild,Large,7,3,8,6,3,3,"PARALYZING STARE 16 - After moving and before attacking, choose any small or medium figure within 6 clear site spaces of Me-Burq-Sa.  Roll the 20-sided die.  If you roll a 16 or higher, the chosen figure cannot roll any defense dice if attacked by Me-Burq-Sa this turn.",,
Mezzodemon Warmongers,65,Valkrill,Demon,0,Squad,2,Warmongers,Ferocious,Medium,5,1,5,4,3,3,"Poison Cloud: When a Mezzodemon Warmonger attacks a common figure, add 1 to its Attack value.","Exoskeleton: At the start of the game, place 1 copper Exoskeleton marker on a Mezzodemon Warmongers Army Card for each Mezzodemon Warmonger figure in your army. After a Mezzodemon Warmonger rolls defense dice against a normal attack, you may remove 1 Exoskeleton marker from its Army Card to ignore all wounds inflicted by that attack.",
Microcorp Agents,100,Vydar,Human,0,Squad,3,Agent,Tricky,Medium,5,1,5,7,2,3,"STEALTH ARMOR 15 - When a Microcorp Agent receives one or more wounds, before removing that agent, roll the 20-sided die.  If you roll a 15 or higher, ignore any wounds.  ",WATER SUITS - Microcorp Agents do not have to stop their movement when entering a water space.  Add 2 to a Microcorp Agent's defense while he is on a water space.  ,"SIGHTING - When a Microcorp Agent is attacking with a height advantage, he rolls an additional attack die."
Migol Ironwill,110,Aquilla,Dwarf,2,Hero,1,Leader,Resolute,Small,3,5,5,1,2,4,"Deadly Strike: When attacking with Migol Ironwill, each skull rolled counts as one additional hit.","One Shield Defense: When rolling defense dice, if Migol Ironwill rolls at least one sheild, the most wounds Migol Ironwill can take for this attack is one.","Climb X2: When moving up or down levels of terrain, Migol Ironwill may double his Height."
